Index,Fiscal_Week_ID,Store_ID,Item_ID,Price,Item_Quantity,Sales_Amount_No_Discount,Sales_Amount,Competition_Price
0,2019-11,store_459,item_526,134.49,435,4716.74,11272.59,206.44
1,2019-11,store_459,item_526,134.49,435,4716.74,11272.59,158.01
2,2019-11,store_459,item_526,134.49,435,4716.74,11272.59,278.03
3,2019-11,store_459,item_526,134.49,435,4716.74,11272.59,222.66
4,2019-11,store_459,item_526,134.49,435,4716.74,11272.59,195.32
5,2019-11,store_459,item_526,134.49,435,4716.74,11272.59,108.75
6,2019-11,store_459,item_526,134.49,435,4716.74,11272.59,219.64
7,2019-11,store_459,item_526,134.49,435,4716.74,11272.59,100.11
8,2019-11,store_459,item_526,134.49,435,4716.74,11272.59,86.1
9,2019-11,store_459,item_526,134.49,435,4716.74,11272.59,231.21
10,2019-11,store_709,item_526,136.79,459,4890.43,11545.08,206.44
11,2019-11,store_709,item_526,136.79,459,4890.43,11545.08,158.01
12,2019-11,store_709,item_526,136.79,459,4890.43,11545.08,278.03
13,2019-11,store_709,item_526,136.79,459,4890.43,11545.08,222.66
14,2019-11,store_709,item_526,136.79,459,4890.43,11545.08,195.32
15,2019-11,store_709,item_526,136.79,459,4890.43,11545.08,108.75
16,2019-11,store_709,item_526,136.79,459,4890.43,11545.08,219.64
17,2019-11,store_709,item_526,136.79,459,4890.43,11545.08,100.11
18,2019-11,store_709,item_526,136.79,459,4890.43,11545.08,86.1
19,2019-11,store_709,item_526,136.79,459,4890.43,11545.08,231.21
20,2019-11,store_442,item_526,138.67,458,4933.46,11517.46,206.44
21,2019-11,store_442,item_526,138.67,458,4933.46,11517.46,158.01
22,2019-11,store_442,item_526,138.67,458,4933.46,11517.46,278.03
23,2019-11,store_442,item_526,138.67,458,4933.46,11517.46,222.66
24,2019-11,store_442,item_526,138.67,458,4933.46,11517.46,195.32
25,2019-11,store_442,item_526,138.67,458,4933.46,11517.46,108.75
26,2019-11,store_442,item_526,138.67,458,4933.46,11517.46,219.64
27,2019-11,store_442,item_526,138.67,458,4933.46,11517.46,100.11
28,2019-11,store_442,item_526,138.67,458,4933.46,11517.46,86.1
29,2019-11,store_442,item_526,138.67,458,4933.46,11517.46,231.21
30,2019-11,store_136,item_526,128.93,459,4962.56,11216.19,206.44
31,2019-11,store_136,item_526,128.93,459,4962.56,11216.19,158.01
32,2019-11,store_136,item_526,128.93,459,4962.56,11216.19,278.03
33,2019-11,store_136,item_526,128.93,459,4962.56,11216.19,222.66
34,2019-11,store_136,item_526,128.93,459,4962.56,11216.19,195.32
35,2019-11,store_136,item_526,128.93,459,4962.56,11216.19,108.75
36,2019-11,store_136,item_526,128.93,459,4962.56,11216.19,219.64
37,2019-11,store_136,item_526,128.93,459,4962.56,11216.19,100.11
38,2019-11,store_136,item_526,128.93,459,4962.56,11216.19,86.1
39,2019-11,store_136,item_526,128.93,459,4962.56,11216.19,231.21
40,2019-11,store_601,item_526,134.45,436,4704.89,10980.31,206.44
41,2019-11,store_601,item_526,134.45,436,4704.89,10980.31,158.01
42,2019-11,store_601,item_526,134.45,436,4704.89,10980.31,278.03
43,2019-11,store_601,item_526,134.45,436,4704.89,10980.31,222.66
44,2019-11,store_601,item_526,134.45,436,4704.89,10980.31,195.32
45,2019-11,store_601,item_526,134.45,436,4704.89,10980.31,108.75
46,2019-11,store_601,item_526,134.45,436,4704.89,10980.31,219.64
47,2019-11,store_601,item_526,134.45,436,4704.89,10980.31,100.11
48,2019-11,store_601,item_526,134.45,436,4704.89,10980.31,86.1
